5042d88,Petra Robertson,10 hours ago,error checks on qualifications
c947387,Aaron Diamond-Reivich,12 hours ago,fixed log out button
a5f3548,Aaron Diamond-Reivich,14 hours ago,removed unsused imports and extraneous log statements
b6ab532,Aaron Diamond-Reivich,14 hours ago,fixed duplicate sessions when claiming
e5ebeff,Petra Robertson,16 hours ago,merged sign up into master
e0450a0,Petra Robertson,16 hours ago,added checks for login
77ceb77,Aaron Diamond-Reivich,17 hours ago,Merge branch 'master' into implementAverageCost
66f5240,Aaron Diamond-Reivich,17 hours ago,fixed merge conflicts
90258d2,Aaron Diamond-Reivich,17 hours ago,implemented average cost
486d570,terrencejo,17 hours ago,Merge pull request #8 from cis-upenn/check_qual
72ef7e9,Terrence Jo,17 hours ago,qual check
dd6e807,Petra Robertson,17 hours ago,qualifications
a9a6554,Aaron Diamond-Reivich,17 hours ago,fixed numSessions in updateBalance
5ccb216,Chris,18 hours ago,Aaron's favourite colors
c50f366,Chris,18 hours ago,Logout button
8ab2395,Aaron Diamond-Reivich,18 hours ago,fixed bugs
2eab10c,Aaron Diamond-Reivich,18 hours ago,Merge branch 'master' of https://github.com/cis-upenn/350S19-27
492c30f,Aaron Diamond-Reivich,18 hours ago,fixed error loading null sessions
2351aff,terrencejo,18 hours ago,Merge pull request #7 from cis-upenn/rate_for_tutor
c4d7889,Terrence Jo,18 hours ago,rate unclaimed bug
244351f,Aaron Diamond-Reivich,19 hours ago,fixed merge conflicts
54b8b4f,Aaron Diamond-Reivich,19 hours ago,fixed bug with reading empty file
5e3803f,Petra Robertson,19 hours ago,Fixing merge issues
b216f8b,Petra Robertson,19 hours ago,added logout function
a845bae,terrencejo,19 hours ago,Merge pull request #6 from cis-upenn/make_session_button
e93840a,Terrence Jo,19 hours ago,field check in creating session
7886ba1,Aaron Diamond-Reivich,19 hours ago,removed claim button if current user it a tutor
2571de0,Petra Robertson,19 hours ago,added qualifications pop up
00004f3,Aaron Diamond-Reivich,19 hours ago,removed duplicate data and fixed add new session
e62e797,Aaron Diamond-Reivich,20 hours ago,fixed refresh of profile page when creating new session
31195c3,Aaron Diamond-Reivich,20 hours ago,fixed bug for claimSession in profile page
1aa7f84,terrencejo,21 hours ago,Merge pull request #5 from cis-upenn/make_session_button
49aa32e,Terrence Jo,21 hours ago,finished make session button
ceec57a,terrencejo,23 hours ago,Merge pull request #4 from cis-upenn/rate_button
a38f279,Terrence Jo,23 hours ago,fixed rate total for multiple times
6585740,terrencejo,33 hours ago,Merge pull request #3 from cis-upenn/rate_button
4353255,Terrence Jo,33 hours ago,finished rate
5cb6ef7,Terrence Jo,35 hours ago,fixed merge conflicts
3ffeac9,Terrence Jo,2 days ago,hot fixes for profile page
36bd4a9,Aaron Diamond-Reivich,2 days ago,fixed redirect to profile after claim session
78fdd60,Aaron Diamond-Reivich,2 days ago,fixed writing to user database issues
5e1e0db,Aaron Diamond-Reivich,2 days ago,Merge branch 'master' of https://github.com/cis-upenn/350S19-27
